Session Day of Week,Session Date,Custom Player Id,Player Name,Player Last Name,Player Position,Drill Title,Distance Total,High Speed Running (Absolute),High Speed Running (Relative),Distance Zone 6 (Absolute),HSR Per Minute (Absolute),Sprint Distance,Sprints,Fatigue Index,HML Distance,HML Distance Per Minute,HML Efforts,Distance Z5ToZ6,Accelerations,Max Acceleration,Accelerations Z4 to Z6,Decelerations,Distance Per Min,Max Speed,Dynamic Stress Load,Step Balance,Deceleration Z4 to Z6,Metabolic Distance Zone 6,HSR Per Minute (Relative),Session Type,Session Week Number,Total Time,Accelerations Z3 to Z6,Distance Zone 6 (Relative),Distance Z5ToZ6Ab,Time In Red Zone,Total Loading
Thursday,25/07/2024,,DAVID AMIGO,AMIGO,DELANTERO,Entire Session,4157.37,135.78,135.78,9.43,1.48,0,0,0,0,0,0,135.78,50,5.64,50,36,45.26,28.12,81.37,0.01,36,620.6,1.48,MatchDayMinusTwo,30,1:31:58,159,9.43,135.78,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO CANIZO,CANIZO,DELANTERO,Entire Session,4886.78,151.43,151.43,14.42,1.67,0,0,0,0,0,0,151.43,60,5.62,60,66,53.99,27.04,272.12,-0.02,66,743.44,1.67,MatchDayMinusTwo,30,1:30:38,171,14.42,151.43,0:00:00,0
Thursday,25/07/2024,,JORGE CASADO,CASADO,CENTRAL,Entire Session,4521.17,51.41,51.41,0,0.57,0,0,0,0,0,0,51.41,42,5.29,42,37,50.38,23.94,207.41,-0.07,37,527.87,0.57,MatchDayMinusTwo,30,1:29:52,169,0,51.41,0:00:00,0
Thursday,25/07/2024,,MIGUEL CERA,CERA,LATERAL DERECHO,Entire Session,4896.94,196.95,196.95,28.05,2.17,0,0,0,0,0,0,196.95,51,5.06,51,61,53.91,27.04,148.76,0.06,61,705.12,2.17,MatchDayMinusTwo,30,1:30:58,179,28.05,196.95,0:00:00,0
Thursday,25/07/2024,20,García Dario,Dario,CENTROCAMPISTA,Entire Session,4699.6,54.45,22.82,0.71,0.61,0,0,0,0,0,0,22.82,50,5.87,50,34,52.5,25.7,213.91,0.04,34,422.69,0.25,MatchDayMinusTwo,30,1:29:38,180,0,54.45,0:00:00,0
Thursday,25/07/2024,,ERIC IGLESIAS,IGLESIAS,DELANTERO,Entire Session,4169.01,106.09,106.09,4.96,1.18,0,0,0,0,0,0,106.09,26,4.48,26,47,46.38,25.88,320.37,-0.03,47,623.28,1.18,MatchDayMinusTwo,30,1:30:01,150,4.96,106.09,0:00:00,0
Thursday,25/07/2024,12, Gallar,Gallar,LATERAL DERECHO,Entire Session,4448.71,119.48,85.86,8.61,1.29,0,0,0,0,0,0,85.86,51,5.21,51,50,48.15,27.58,170.17,-0.06,50,656.92,0.93,MatchDayMinusTwo,30,1:32:35,158,0,119.48,0:00:00,0
Thursday,25/07/2024,,ALEJANDRO HERRANZ,HERRANZ,LATERAL IZQUIERDO,Entire Session,5027.84,93.32,93.32,9.3,1.02,0,0,0,0,0,0,93.32,70,5.56,70,64,55.14,26.42,75.3,-0.06,64,748.01,1.02,MatchDayMinusTwo,30,1:31:18,219,9.3,93.32,0:00:00,0
Thursday,25/07/2024,,JULIO MARTINEZ,MARTINEZ,LATERAL IZQUIERDO,Entire Session,5046.78,207.17,207.17,13.6,2.3,0,0,0,0,0,0,207.17,61,5.47,61,47,55.94,26.93,272.35,0.02,47,748.82,2.3,MatchDayMinusTwo,30,1:30:20,208,13.6,207.17,0:00:00,0
Thursday,25/07/2024,,ALEX KREHL,KREHL,DELANTERO,Entire Session,4559.04,130.14,130.14,5.09,1.4,0,0,0,0,0,0,130.14,70,6.31,70,68,48.9,27,275.76,0.02,68,797.7,1.4,MatchDayMinusTwo,30,1:33:22,189,5.09,130.14,0:00:00,0
