Session Day of Week,Session Date,Custom Player Id,Player Name,Player Last Name,Player Position,Drill Title,Distance Total,High Speed Running (Absolute),High Speed Running (Relative),Distance Zone 6 (Absolute),HSR Per Minute (Absolute),Sprint Distance,Sprints,Fatigue Index,HML Distance,HML Distance Per Minute,HML Efforts,Distance Z5ToZ6,Accelerations,Max Acceleration,Accelerations Z4 to Z6,Decelerations,Distance Per Min,Max Speed,Dynamic Stress Load,Step Balance,Deceleration Z4 to Z6,Metabolic Distance Zone 6,HSR Per Minute (Relative),Session Type,Session Week Number,Total Time,Accelerations Z3 to Z6,Distance Zone 6 (Relative),Distance Z5ToZ6Ab,Time In Red Zone,Total Loading
Thursday,15/08/2024,,Borja Diaz,Diaz,CENTROCAMPISTA,Entire Session,3522.17,225.3,225.3,2.15,6.02,14.96,2,1.31,712.36,5.8,75,225.3,27,4.9,27,26,94.09,26.24,231.86,0.04,26,749.17,6.02,MatchDay,33,2:02:47,99,2.15,225.3,0:00:00,60.15
Thursday,15/08/2024,,ALEJANDRO CANIZO,CANIZO,DELANTERO,Entire Session,9002.64,442.1,442.1,99.8,3.61,125.84,7,1.42,1523.71,12.41,166,442.1,64,5.49,64,73,73.42,33.62,631.9,-0.02,73,1583.54,3.61,MatchDay,33,2:02:47,238,99.8,442.1,0:00:00,141.31
Thursday,15/08/2024,,MIGUEL CERA,CERA,LATERAL DERECHO,Entire Session,10297.76,538.19,538.19,139.86,4.58,190.42,11,0.79,1705.8,13.89,203,538.19,56,4.96,56,82,87.57,32.72,398.69,0.06,82,1764.4,4.58,MatchDay,33,2:02:47,324,139.86,538.19,0:00:00,156.56
Thursday,15/08/2024,20,García Dario,Dario,CENTROCAMPISTA,Entire Session,2557.29,166.3,84.52,24.48,6.39,34.76,2,1.51,566.09,4.61,57,84.52,22,5.2,22,22,98.28,29.16,194.59,-0.06,22,584.66,3.25,MatchDay,33,2:02:47,91,0.81,166.3,0:00:00,42.61
Thursday,15/08/2024,,ERIC IGLESIAS,IGLESIAS,DELANTERO,Entire Session,5217.1,297.4,297.4,56.75,4.96,92.23,6,0.98,892.11,7.27,97,297.4,30,4.53,30,42,87.06,28.19,251.02,-0.01,42,921.08,4.96,MatchDay,33,2:02:47,135,56.75,297.4,0:00:00,79.17
Thursday,15/08/2024,12, Gallar,Gallar,LATERAL DERECHO,Entire Session,9238.27,273.46,154.46,19.58,2.25,23.28,2,1.1,1289.58,10.5,157,154.46,42,4.91,42,50,76.12,28.04,491.13,-0.03,50,1334.85,1.27,MatchDay,33,2:02:47,245,0,273.46,0:00:00,142.36
Thursday,15/08/2024,4,Ablanque Ablanque,Ablanque,CENTRAL,Entire Session,9347.06,314.65,235.33,43.36,2.57,60.12,4,0.5,1307.18,10.65,154,235.33,44,5.55,44,52,76.41,29.66,221.56,-0.03,52,1358.35,1.92,MatchDay,33,2:02:47,231,0,314.65,0:00:00,120.61
Thursday,15/08/2024,,JULIO MARTINEZ,MARTINEZ,LATERAL IZQUIERDO,Entire Session,10614.7,565.16,565.16,95.99,4.63,160.62,9,0.92,1974.28,16.08,214,565.16,82,5.92,82,79,86.88,31.32,486.37,0.01,79,2041.68,4.63,MatchDay,33,2:02:47,344,95.99,565.16,0:00:00,158.44
Thursday,15/08/2024,,MANU RAMIREZ,RAMIREZ,EXTREMO,Entire Session,9244.79,508.19,508.19,71.28,5.22,109.69,5,0.99,2014.93,16.41,219,508.19,69,5.57,69,72,95.01,29.74,459.99,-0.01,72,2099.82,5.22,MatchDay,33,2:02:47,302,71.28,508.19,0:00:00,141.17
Thursday,15/08/2024,,ALEJANDRO DOMINGO,DOMINGO,EXTREMO,Entire Session,8196.96,461.58,461.58,46.69,3.79,71.53,5,1.35,1671.19,13.61,175,461.58,64,6.03,64,80,67.23,29.41,550.18,0,80,1713.36,3.79,MatchDay,33,2:02:47,280,46.69,461.58,0:00:00,146.23
